Date,Day,Meal_type,People_served,Rice_kg,Dal_kg,Roti_count,Number_of_veg,Main_veg_kg,Main_nonveg_kg,Meal_category,Total_Waste_kg,Special_event,Students_enrolled,Attendance_percent,Nonveg_items,Menu_count,Previous_day_leftover_kg
01-01-2025,Wednesday,Lunch,470,50,53,1395,1,42.5,37.5,Mixed,21.2546,Yes,500,94,1,2,0
01-01-2025,Wednesday,Dinner,470,50,53,1395,1,39,37.5,Mixed,21.2546,Yes,500,94,1,2,21.2546
02-01-2025,Thursday,Lunch,450,46.5,50,1365,2,75,0,Veg,0.8665,No,500,90,0,2,21.2546
02-01-2025,Thursday,Dinner,450,46.5,50,1365,1,46.5,0,Veg,0.8665,No,500,90,0,1,0.8665
03-01-2025,Friday,Lunch,400,30,40,1100,1,57,32.5,Mixed,16.0221,No,500,80,1,2,0.8665
03-01-2025,Friday,Dinner,400,30,40,1100,1,25,30,Mixed,13.5221,No,500,80,1,2,16.0221
04-01-2025,Saturday,Lunch,530,60,60,1510,3,170,0,Veg,7.365,No,500,106,0,3,13.5221
04-01-2025,Saturday,Dinner,530,60,60,1510,1,60,60,Mixed,45.5318,No,500,106,1,2,7.365
05-01-2025,Sunday,Lunch,510,55,55,1475,1,40,45,Mixed,26.946,No,500,102,1,2,45.5318
05-01-2025,Sunday,Dinner,510,55,55,1475,1,55,0,Veg,2.9553,No,500,102,0,1,26.946
06-01-2025,Monday,Lunch,495,51.5,55,1430,2,105,0,Veg,1.3032,Yes,500,99,0,2,2.9553
06-01-2025,Monday,Dinner,495,51.5,55,1430,1,50,0,Veg,1.3032,Yes,500,99,0,1,1.3032
07-01-2025,Tuesday,Lunch,495,51.5,55,1430,1,45,40,Mixed,20.9118,No,500,99,1,2,1.3032
07-01-2025,Tuesday,Dinner,495,51.5,55,1430,1,47.5,0,Veg,1.3032,No,500,99,0,1,20.9118
08-01-2025,Wednesday,Lunch,453,50.18,45.53,1487,2,78.81,0,Veg,3.9521,No,500,90.6,0,2,1.3032
08-01-2025,Wednesday,Dinner,450,41.99,53.79,1284,1,49.34,0,Veg,4.0783,No,500,90,0,1,3.9521
09-01-2025,Thursday,Lunch,540,65.63,65.61,1509,3,180.25,0,Veg,16.4798,No,500,108,0,3,4.0783
09-01-2025,Thursday,Dinner,428,47.05,46.58,1416,1,48.11,0,Veg,3.3733,No,500,85.6,0,1,16.4798
10-01-2025,Friday,Lunch,361,31.02,40.11,1103,1,53.13,32.5,Mixed,17.8589,No,500,72.2,1,2,3.3733
10-01-2025,Friday,Dinner,525,59.83,50.81,1456,1,54.81,0,Veg,6.2546,No,500,105,0,1,17.8589
11-01-2025,Saturday,Lunch,527,64.72,54.24,1403,2,155.65,0,Veg,10.9405,No,500,105.4,0,2,6.2546
11-01-2025,Saturday,Dinner,498,57.03,52.36,1495,1,57.85,0,Veg,6.2099,No,500,99.6,0,1,10.9405
12-01-2025,Sunday,Lunch,497,53.62,56.52,1422,1,48.94,42.93,Mixed,26.9744,No,500,99.4,1,2,6.2099
12-01-2025,Sunday,Dinner,407,27.29,38.75,1111,1,23.44,27.15,Mixed,10.3838,No,500,81.4,1,2,26.9744
13-01-2025,Monday,Lunch,424,48.22,51.43,1367,1,45.96,37.07,Mixed,29.1455,Yes,500,84.8,1,2,10.3838
13-01-2025,Monday,Dinner,493,54.67,59.36,1419,1,59.91,0,Veg,9.2582,Yes,500,98.6,0,1,29.1455
14-01-2025,Tuesday,Lunch,393,28.08,41.01,1021,1,55.08,33.12,Mixed,16.9305,Yes,500,78.6,1,2,9.2582
14-01-2025,Tuesday,Dinner,425,48.89,51.48,1385,1,37.5,34.97,Mixed,27.5117,Yes,500,85,1,2,16.9305
15-01-2025,Wednesday,Lunch,536,63.03,64.63,1471,2,184.19,0,Veg,13.7499,No,500,107.2,0,2,27.5117
15-01-2025,Wednesday,Dinner,420,29.92,42.9,1175,1,26.26,30.77,Mixed,13.4682,No,500,84,1,2,13.7499
16-01-2025,Thursday,Lunch,510,56.11,54.4,1339,1,37.79,48.03,Mixed,31.086,No,500,102,1,2,13.4682
16-01-2025,Thursday,Dinner,473,48.66,50.87,1513,1,50.19,0,Veg,0.3911,No,500,94.6,0,1,31.086
17-01-2025,Friday,Lunch,428,50.05,52.51,1264,1,46.22,34.45,Mixed,28.4206,No,500,85.6,1,2,0.3911
17-01-2025,Friday,Dinner,449,51.94,55.72,1564,1,46.19,0,Veg,12.239,No,500,89.8,0,1,28.4206
18-01-2025,Saturday,Lunch,428,47.02,49.01,1285,1,45.14,37.57,Mixed,25.0106,No,500,85.6,1,2,12.239
18-01-2025,Saturday,Dinner,515,47.79,55.17,1414,1,37.19,37.3,Mixed,16.0847,No,500,103,1,2,25.0106
19-01-2025,Sunday,Lunch,447,55.42,57.36,1562,1,47.21,40.96,Mixed,40.33,No,500,89.4,1,2,16.0847
19-01-2025,Sunday,Dinner,508,54.6,51.98,1546,1,50.23,0,Veg,2.7594,No,500,101.6,0,1,40.33
20-01-2025,Monday,Lunch,486,52.7,60.04,1359,1,43.17,39.87,Mixed,29.3052,No,500,97.2,1,2,2.7594
20-01-2025,Monday,Dinner,399,28.33,38.47,1075,1,27.46,28.54,Mixed,12.1033,No,500,79.8,1,2,29.3052
21-01-2025,Tuesday,Lunch,504,46.62,50.06,1534,1,48.27,38.82,Mixed,18.0579,No,500,100.8,1,2,12.1033
21-01-2025,Tuesday,Dinner,366,31.07,39.39,1198,1,26.06,29.74,Mixed,14.6628,No,500,73.2,1,2,18.0579
22-01-2025,Wednesday,Lunch,556,60.28,53.23,1353,1,39.65,45.04,Mixed,25.6768,No,500,111.2,1,2,14.6628
22-01-2025,Wednesday,Dinner,412,30.93,41.21,1089,1,26.58,30.17,Mixed,13.1978,No,500,82.4,1,2,25.6768
23-01-2025,Thursday,Lunch,485,56.23,50.28,1475,1,36.47,46.36,Mixed,33.1171,No,500,97,1,2,13.1978
23-01-2025,Thursday,Dinner,437,32.66,38.77,1052,1,24.61,28.32,Mixed,10.3179,No,500,87.4,1,2,33.1171
